;  CONO DALMATA-helado ; Helado de Miel  ; Heca ; 6,000 ; lt ; 4.400 ; 26.400 ; 264 
 9 ; (espárragos, alcachofas y tomates cherry) ; tomate cherry ; Fruton ; 1,200 ; kg ; 1.980 ; 2.376 ; 24 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; toalla de papel rollo ; Coesmo ; 20,00 ; c/u ; 6.040 ; 120.800 ; 1.208 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Papel higienico rollo ; coesmo ; 16,00 ; rollo ; 3.385 ; 54.160 ; 542 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; guante desechable s ;  Chile Distribución  ; 2,00 ; caja ; 8.100 ; 16.200 ; 162 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Alusa plast ; Abraham Vilches ; 2,00 ; c/u ; 7.100 ; 14.200 ; 142 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; alusa foil ; Abraham Vilches ; 0,50 ; c/u ; 9.000 ; 4.500 ; 45 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Bolsa de basura ; Abraham Vilches ; 23,00 ; c/u ; 195 ; 4.485 ; 45 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Caja de torta ; Delicias y mas SpA ; 4,00 ; c/u ; 1.100 ; 4.400 ; 44 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; guante desechable m ;  Chile Distribución  ; 0,50 ; caja ; 8.100 ; 4.050 ; 41 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; guante desechable L ;  Chile Distribución  ; 0,50 ; caja ; 8.100 ; 4.050 ; 41 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Vasos desechables transparentes ; Delicias y mas SpA ; 90,00 ; c/u ; 41 ; 3.690 ; 37 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Gorro desechable ; Delicias y mas SpA ; 1,00 ; pqte ; 1.947 ; 1.947 ; 20 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Pechera plastica ; Algarrobal ; 1,00 ; c/u ; 1.581 ; 1.581 ; 16 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Bolsa de basura negra ; Abraham Vilches ; 4,00 ; c/u ; 352 ; 1.408 ; 15 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Trapero ; Chile Distribución ; 1,50 ; c/u ; 950 ; 1.425 ; 15 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Escobillón ; Algarrobal ; 0,50 ; c/u ; 2.165 ; 1.083 ; 11 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Detergente loza ; New Chem ; 1,50 ; lt ; 700 ; 1.050 ; 11 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Virutilla de olla fina ; Chile Distribución ; 5,00 ; c/u ; 174 ; 870 ; 9 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; virutilla antiadherente ; Comercial San Joaquin ; 1,00 ; c/u ; 851 ; 851 ; 9 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; spongi ; Chile Distribución ; 2,00 ; c/u ; 276 ; 552 ; 6 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Pechera plástica desechable ; Algarrobal ; 0,50 ; c/u ; 930 ; 465 ; 5 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Pala plasticas ; Chile Distribución ; 0,50 ; c/u ; 899 ; 450 ; 5 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Bolsa prepicada grande ; Abraham Vilches ; 0,15 ; kg ; 2.652 ; 23.440 ; 235 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; virutilla de olla gruesa ; Chile Distribución ; 1,50 ; c/u ; 140 ; 210 ; 3 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; cloro ; Algarrobal ; 0,25 ; botella ; 760 ; 190 ; 2 
 ZAA ; AA-ARTICULOS DE ASEO E HIGIENE DENTRO DE CASONA ; Mascarilla ; Chile Distribución ; 0,05 ; caja ; 2.190 ; 110 ; 2 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; bolsa de basura ; Abraham Vilches ; 8,00 ; c/u ; 195 ; 1.560 ; 16 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; guante desechable s ;  Chile Distribución  ; 1,50 ; caja ; 8.100 ; 12.150 ; 122 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; guante desechable m ;  Chile Distribución  ; 1,50 ; caja ; 8.100 ; 12.150 ; 122 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; guante desechable L ;  Chile Distribución  ; 1,50 ; caja ; 8.100 ; 12.150 ; 122 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; Gorro desechable ; Delicias y mas SpA ; 0,30 ; pqte ; 1.947 ; 584 ; 6 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; Bolsa de basura ; Abraham Vilches ; 23,00 ; c/u ; 195 ; 4.485 ; 45 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; Escobillón ; Algarrobal ; 0,50 ; c/u ; 2.165 ; 1.083 ; 11 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; Pala plasticas ; Chile Distribución ; 0,50 ; c/u ; 899 ; 450 ; 5 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; Trapero ; Chile Distribución ; 1,50 ; c/u ; 950 ; 1.425 ; 15 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; Alusa plast ; Abraham Vilches ; 2,00 ; c/u ; 7.100 ; 14.200 ; 142 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; alusa foil ; Abraham Vilches ; 0,50 ; c/u ; 9.000 ; 4.500 ; 45 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; Detergente loza ; New Chem ; 1,50 ; lt ; 700 ; 1.050 ; 11 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; cloro ; Algarrobal ; 0,25 ; botella ; 760 ; 190 ; 2 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; Virutilla de olla fina ; Chile Distribución ; 0,50 ; c/u ; 174 ; 87 ; 1 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; virutilla antiadherente ; Comercial San Joaquin ; 1,00 ; c/u ; 851 ; 851 ; 9 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; virutilla de olla gruesa ; Chile Distribución ; 1,50 ; c/u ; 140 ; 210 ; 3 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; Caja de torta ; Delicias y mas SpA ; 4,00 ; c/u ; 1.100 ; 4.400 ; 44 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; Vasos desechables transparentes ; Delicias y mas SpA ; 90,00 ; c/u ; 41 ; 3.690 ; 37 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; toalla de papel rollo ; Coesmo ; 4,00 ; c/u ; 6.040 ; 24.160 ; 242 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; Pechera plastica ; Algarrobal ; 1,00 ; c/u ; 1.581 ; 1.581 ; 16 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; Pechera plástica desechable ; Algarrobal ; 0,50 ; c/u ; 930 ; 465 ; 5 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; Papel confort elite ; cambiar ; 1,00 ; c/u ; 223 ; 223 ; 3 
 ZAF ; AA-ARTICULOS DE ASEO E HIGIENE FUERA DE CASONA ; Bolsa prepicada grande ; Abraham Vilches ; 0,15 ; kg ; 2.652 ; 398 ; 4 
 ZAB ; AA-ARTICULOS DE BAÑO ; Desodorante/Desinfectante ; Chile Distribución ; 4,00 ; tarro ; 1.895 ; 7.580 ; 76 
 ZAB ; AA-ARTICULOS DE BAÑO ; Elasticos negros ; Salcobrand ; 0,25 ; pqte ; 6.500 ; 7.580 ; 76 
 ZAB ; AA-ARTICULOS DE BAÑO ; Pastillas de menta arcor ; cambiar ; 0,50 ; bolsa ; 2.470 ; 1.625 ; 17 
 ZAB ; AA-ARTICULOS DE BAÑO ; Toallas higienicas donasept suave alas ; SalcoBrand ; 0,50 ; pqte ; 899 ; 1.235 ; 13 
 ZAB ; AA-ARTICULOS DE BAÑO ; Máquina de afeitar ; Salcobrand ; 0,50 ; pqte ; 882 ; 450 ; 5 
 ZAB ; AA-ARTICULOS DE BAÑO ; Pantys ; cambiar ; 0,50 ; c/u ; 690 ; 201 ; 3 
 ZAB ; AA-ARTICULOS DE BAÑO ; Costurero ; cambiar ; 0,15 ; c/u ; 1.340 ; 441 ; 5 
 ZAB ; AA-ARTICULOS DE BAÑO ; Pinches negros ; Salcobrand ; 0,25 ; pqte ; 521 ; 201 ; 3 
 ZAB ; AA-ARTICULOS DE BAÑO ; Quita esmalte ; Salcobrand ; 0,10 ; c/u ; 496 ; 130 ; 2 
 ZAB ; AA-ARTICULOS DE BAÑO ; Algodón redondo chico ; Salcobrand ; 0,10 ; c/u ; 445 ; 50 ; 1 
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ; Picrato de Butesin ; Salcobrand ; 0,10 ; c/u ; 6.020 ; 45 ; 1 
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ; Aspirinas ; Salcobrand ; 0,20 ; caja ; 2.496 ; 602 ; 7 
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ; Tabletas philiips ; Salcobrand ; 0,20 ; caja ; 2.269 ; 499 ; 5 
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ; Parche curita nexcare ; Salcobrand ; 0,10 ; caja ; 2.491 ; 454 ; 5 
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ; Cinta 3M ; Salcobrand ; 0,10 ; c/u ; 2.463 ; 249 ; 3 
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ; Paracetamol ; Salcobrand ; 0,20 ; caja ; 1.004 ; 246 ; 3 
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ; bialcohol ; Salcobrand ; 0,10 ; spray ; 1.471 ; 201 ; 3 
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ; Povidona Yodada ; Salcobrand ; 0,10 ; c/u ; 474 ; 147 ; 2 
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ; Termómetro ; Salcobrand ; 0,05 ; c/u ; 936 ; 47 ; 1 
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ; pañuelo desechable ; Cencosud Retail ; 0,10 ; c/u ; 380 ; 47 ; 1 
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ; Ibuprofeno ; Salcobrand ; 0,10 ; c/u ; 239 ; 38 ; 1 
 ZABO ; AA-ARTICULOS PARA BOTIQUIN ; antialérgico ; Salcobrand ; 0,10 ; c/u ; 164 ; 24 ; 1 
 ZAB ; AA-ARTICULOS PARA BOTIQUIN ; Gasa ; Salcobrand ; 0,10 ; c/u ; 286 ; 16 ; 1 
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ; Arveja Partida ; Fruton ; 2,000 ; kg ; 2.980 ; 5.560 ; 56 
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ; cebolla ; Fruton ; 0,500 ; kg ; 690 ; 1.665 ; 17 
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ; Jengibre fresco ; Fruton ; 0,100 ; kg ; 2.980 ; 249 ; 3 
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ; mantequilla ; Cabezas y cia ; 0,200 ; kg ; 8.391 ; 328 ; 4 
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ; huevos ; MIGUEL FARIAS ; 10,000 ; c/u ; 240 ; 9.399 ; 94 
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ; aceite ; Fruton ; 4,000 ; lt ; 3.450 ; 2.636 ; 27 
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ; cilantro ; Fruton ; 0,300 ; kg ; 1.980 ; 1.481 ; 15 
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ; camarón 36/40 ; Southwind ; 2,500 ; kg ; 7.700 ; 2.636 ; 27 
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ; Arvejas congeladas ; Fruton ; 1,000 ; kg ; 2.200 ; 1.481 ; 15 
 1 ; AC- ARACAJE DE LEGUMBRES RELLENOS CON CAMARONES ; Aceite de dende ; Comon ; 1,000 ; lt ; 11.820 ; 1.481 ; 15 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron ; Centolla ensalada ; Granja Marina ; 0,900 ; kg ; 43.000 ; 38.700 ; 387 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron ; harina ; Delicias y mas SpA ; 0,180 ; kg ; 1.300 ; 234 ; 3 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron ; huevos ; MIGUEL FARIAS ; 6,000 ; c/u ; 240 ; 1.440 ; 15 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron ; mantequilla ; Cabezas y cia ; 0,120 ; kg ; 8.391 ; 1.007 ; 11 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron ; aceite ; Fruton ; 0,840 ; lt ; 3.450 ; 2.898 ; 29 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron ; Brochetas de 12 cm ; Delicias y mas SpA ; 0,600 ; pqte ; 790 ; 474 ; 5 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron-salsa de camaron ; cebolla ; Fruton ; 1,200 ; kg ; 690 ; 828 ; 9 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron-salsa de camaron ; Zanahorias ; Comercial Valencia ; 0,800 ; pqte ; 790 ; 632 ; 7 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron-salsa de camaron ; Concentrado de tomate ; Delicias y mas SpA ; 0,300 ; kg ; 6.390 ; 1.917 ; 20 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron-salsa de camaron ; Laurel fresco ; Comercial Valencia ; 0,200 ; atado ; 800 ; 160 ; 2 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron-salsa de camaron ; camarón 40/50 ; Southwind ; 2,000 ; kg ; 12.500 ; 25.000 ; 250 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron-salsa de camaron ; Vino blanco en caja 2 lt ; CCU ; 0,375 ; caja ; 1.303 ; 489 ; 5 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron-salsa de camaron ; Leche evaporada ; Cabezas y cia ; 2,000 ; lata ; 1.452 ; 2.904 ; 30 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron-salsa de camaron ; Maicena ; Fruton ; 0,300 ; kg ; 1.990 ; 597 ; 6 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron-salsa de camaron ; Leche ; Cabezas y cia ; 3,000 ; lt ; 999 ; 2.997 ; 30 
 AC10 ; AC- Buñuelos de centolla con bisque de camaron-salsa de camaron ; Crema ; Cabezas y cia ; 3,000 ; lt ; 3.721 ; 11.163 ; 112 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; Masa filo ; Gastón Castillo ; 1,000 ; kg ; 6.400 ; 6.400 ; 64 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; Mantequilla ; Cabezas y cia ; 0,500 ; kg ; 8.391 ; 4.196 ; 42 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; Aceite ; Fruton ; 3,000 ; lt ; 3.450 ; 10.350 ; 104 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; Tomate ; Fruton ; 1,000 ; kg ; 1.490 ; 1.490 ; 15 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; cebolla ; Fruton ; 1,000 ; kg ; 690 ; 690 ; 7 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; ajo ; Comercial Valencia ; 2,000 ; c/u ; 450 ; 900 ; 9 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; Jengibre fresco ; Fruton ; 0,100 ; kg ; 2.980 ; 298 ; 3 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; Curry rojo en pasta ; Gudland ; 0,200 ; kg ; 6.638 ; 1.328 ; 14 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; Tandoori masala en polvo ; Gudland ; 0,100 ; kg ; 5.170 ; 517 ; 6 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; comino ; Fruton ; 0,050 ; kg ; 3.800 ; 190 ; 2 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; semillas de cilantro ; Fruton ; 0,020 ; kg ; 7.060 ; 141 ; 2 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; leche de coco ; A Y R ; 1,000 ; lata ; 2.200 ; 2.200 ; 22 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; Yoghurt ; Delicias y mas SpA ; 0,600 ; lt ; 3.015 ; 1.809 ; 19 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; Pierna de cordero deshuesada ; Granja Marina ; 1,300 ; kg ; 18.500 ; 24.050 ; 241 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; Champiñon granel chico ; Protier ; 0,350 ; kg ; 6.500 ; 2.275 ; 23 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; Zapallo italiano c/u ; Comercial Valencia ; 2,000 ; c/u ; 590 ; 1.180 ; 12 
; AC- Empanada de curry de cordero y raita de cilantro.-empanada ; Pimentón Rojo ; Comercial Valencia ; 2,000 ; c/u ; 890 ; 1.780 ; 18 
; AC- Empanada de curry de cordero y raita de cilantro.-salsa ; Yoghurt ; Delicias y mas SpA ; 0,600 ; lt ; 3.015 ; 1.809 ; 19 
; AC- Empanada de curry de cordero y raita de cilantro.-salsa ; menta ; Fruton ; 0,100 ; kg ; 3.980 ; 398 ; 4 
; AC- Empanada de curry de cordero y raita de cilantro.-salsa ; Cilantro ; Fruton ; 0,200 ; kg ; 1.980 ; 396 ; 4 
; AC- Empanada de locos, camarones y ostion- locos ; Locos  ; Southwind ; 2,000 ; kg ; 28.000 ; 56.000 ; 560 
; AC- Empanada de locos, camarones y ostion- locos ; ajo ; Comercial Valencia ; 1,000 ; c/u ; 450 ; 450 ; 5 
; AC- Empanada de locos, camarones y ostion- locos ; cebolla ; Fruton ; 0,300 ; kg ; 690 ; 207 ; 3 
; AC- Empanada de locos, camarones y ostion- locos ; Pimentón Rojo ; Comercial Valencia ; 2,000 ; c/u ; 890 ; 1.780 ; 18 
; AC- Empanada de locos, camarones y ostion- locos ; Zanahorias ; Comercial Valencia ; 0,200 ; pqte ; 790 ; 158 ; 2 
; AC- Empanada de locos, camarones y ostion- relleno  ; cebolla ; Fruton ; 1,800 ; kg ; 690 ; 1.242 ; 13 
; AC- Empanada de locos, camarones y ostion- relleno  ; ajo ; Comercial Valencia ; 2,000 ; c/u ; 450 ; 900 ; 9 
